,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT)
1h,0.7505066229351129,319.4950436147878,3.9931037242723524,126.69693586428312,26.90959927462142
6h,1.6918996518424505,558.0329032057914,8.611623575716694,206.99346598434263,40.243638486232534
12h,1.7377081619419659,254.26329628955213,14.20388636030691,206.17213579231753,45.99533166875173
24h,1.7149829716981468,523.4712356239864,11.74412568585138,200.25537153044172,62.132410662378675
