,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT)
1h,0.7505066229351129,319.49504361478785,3.9931037242723533,126.69693586428312,26.909599274621424
6h,1.6918996518424505,558.0329032057914,8.611623575716694,206.99346598434266,40.24363848623254
12h,1.7377081619419659,254.26329628955207,14.203886360306907,206.17213579231748,45.99533166875174
24h,1.714982971698147,523.4712356239863,11.744125685851381,200.25537153044172,62.13241066237868
