,Accuracy,Precision,Recall,F1 Score,Naive Accuracy
1h,0.7617987533392698,0.7467882143106994,0.7530795561800597,0.7474587277981423,0.2947462154942119
6h,0.6162427487728692,0.6027508806327334,0.604337082434145,0.5934667997032452,0.2717536813922356
12h,0.5798657718120805,0.5760171352045189,0.5701035364881403,0.5562307610972824,0.4331096196868009
24h,0.5618533513270355,0.5680781142323135,0.557633739046589,0.5454692045168236,0.29509671614934774
