,Accuracy,Precision,Recall,F1 Score,Naive Accuracy
1h,0.7560106856634016,0.7248360615019643,0.7322977484444544,0.7275510505270432,0.47105966162065893
6h,0.6198125836680054,0.5769683132696831,0.5900770933363572,0.5746678293891907,0.4716644355198572
12h,0.5847874720357942,0.5439059442050939,0.5561662064861378,0.5361406800125218,0.47069351230425055
24h,0.5587044534412956,0.5533834566088308,0.5536190192709659,0.5330009033423668,0.4732343679712101
