,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT)
1h,0.7025699132508247,-1.33078535558099,0.6322422976881558,0.6353678230801747,0.7233712147799958
6h,-0.5086453319744586,-6.097020663578398,-0.7070621972416304,0.028573931596539204,0.38236451261631776
12h,-0.5883274194128776,-0.4673325763636891,-3.636860366188918,0.03771212476138652,0.19373940856327243
24h,-0.5430337402087342,-5.248065616096799,-2.156331911362786,0.09311637722079869,-0.4646845930942307
