,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT)
1h,0.7025699132508247,-1.3307853555809905,0.6322422976881557,0.6353678230801747,0.7233712147799958
6h,-0.5086453319744586,-6.097020663578398,-0.7070621972416304,0.02857393159653887,0.38236451261631743
12h,-0.5883274194128774,-0.46733257636368863,-3.636860366188917,0.03771212476138719,0.1937394085632722
24h,-0.5430337402087344,-5.248065616096796,-2.1563319113627863,0.09311637722079857,-0.4646845930942314
