,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT)
1h,0.749665523874808,-0.06994866723544879,0.7882176762431364,0.783297831607034,0.7276852956041392
6h,0.35879328998228044,-0.22923559563366935,0.3438910130074827,0.37494774891795013,0.5134959681969988
12h,0.09639288872714036,-0.29185450018607817,0.1591929530030638,0.24679633171399362,0.39645856280765124
24h,0.19020935302381314,-0.14510094861649359,0.20434033657126704,0.23687337037273626,0.37402638965553237
